entrez,Human
66445,1537
69253,3316
12391,859
13626,8726
72169,23650
211651,2177
21423,6929
56222,163732
71241,63946
13716,8178
117198,10625
18390,4988
170484,7827
54401,7529
30960,9218
72433,23682
22629,7533
22627,7531
101502,80270
65945,22883
21937,7132
319740,118813
67052,10403
21388,6910
20983,6860
78891,57410
98376,92344
17202,4160
12385,1495
237523,374462
18545,126006
18222,8650
217331,85451
12550,999
27221,10036
14359,8087
58869,51555
12387,1499
16480,3728
11789,324
20191,6262
22330,7414
22631,7534
244585,23322
11306,22
14370,8325
22408,7471
22416,89780
16006,3484
16012,3489
16008,3485
16010,3487
94221,57120
20187,6259
72780,84870
16210,55364
81879,29842
19821,6045
214669,83746
71950,79923
56353,23429
52609,23492
17187,4149
71041,84108
214133,54790
52463,80312
209318,2873
18999,5460
67588,10193
269003,79595
216344,23011
19330,22931
12534,983
14265,2332
15194,3064
12702,9021
65246,23039
217371,10966
224624,57799
65256,51676
20849,6775
21349,6886
20541,6546
11928,476
98660,477
11614,190
16438,3708
75178,254528
380709,84690
22273,7384
66171,25796
234779,5336
18783,5321
12483,933
12288,775
16179,3654
11774,8546
14360,2534
52118,5817
67295,115827
19340,9545
387285,3062
230777,3061
69908,5865
13426,1780
19339,5864
56716,64223
227743,79109
56717,2475
78757,253260
13385,1742
53310,1741
23859,1740
246317,81832
14810,2902
14812,2904
14811,2903
14805,2897
110637,2900
14806,2898
67731,114907
320299,9657
260305,261734
19045,5499
67951,84617
15396,3207
23863,199699
12609,1052
68705,2963
17702,4488
20371,50943
18424,5015
665113,23043
94212,55824
71702,988
14272,2339
17701,4487
12683,1149
105787,5562
19079,5564
19082,5571
266690,51167
14311,63924
22227,7350
269037,9811
228714,57325
217031,6871
14534,2648
384783,8660
20430,23191
16531,3778
12015,572
20648,6640
20656,6648
18975,5428
78610,7405
59026,10075
22596,7520
14104,2194
219150,79618
14375,2547
24110,11274
16797,27040
72935,51428
56501,2000
384309,81844
225872,266743
18969,23649
18968,5422
19075,5557
13405,1756
216439,116986
66395,79026
22190,7316
12306,302
16772,284217
11423,43
13138,1605
20692,6678
18073,4811
16950,84695
19016,5468
19015,5467
19018,51282
236576,10251
24063,10252
24064,10253
20662,6654
14784,2885
24066,81848
12362,834
16176,3553
66824,29108
20963,6850
268973,58484
55991,24145
257632,64127
12608,1051
68010,25805
18555,5127
18647,5218
67974,219771
13654,1959
12005,8312
17344,9063
22294,8409
69807,22954
14886,2969
54711,5326
26927,668
14694,10399
18033,4790
13132,1601
21374,6908
20505,6569
77626,55627
213556,130271
11461,60
21804,7041
14469,2634
224742,23
66054,55748
11695,60529
